Name,id,usersrated,average,baverage,avgweight,numweights,numgeeklists,numtrading,numwanting,numwish,numowned,numplays,numplays_month,numfans,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,categories,types
Explorers of the North Sea,176371,2035.0,7.35208,6.51129,2.16,75.0,489.0,57.0,226.0,963.0,4401.0,6225.0,51.0,195.0,2016.0,1.0,4.0,45.0,60.0,12.0,"[2001, 2080, 1020, 2676, 1035, 2011, 1008, 2007, 2004, 2002, 2015]",['strategy']
Ponzi Scheme,180899,2282.0,7.20186,6.51072,2.4737,57.0,568.0,78.0,205.0,750.0,2594.0,5673.0,9.0,71.0,2015.0,3.0,5.0,60.0,90.0,12.0,"[1021, 2004, 2008]",['strategy']
Medieval Academy,154386,3517.0,6.95586,6.51062,1.8103,116.0,933.0,222.0,147.0,817.0,5252.0,9649.0,29.0,95.0,2014.0,2.0,5.0,30.0,30.0,8.0,"[2080, 2041, 2040, 1035, 2011, 2020, 2897]",['family']
The Game,173090,8335.0,6.71846,6.51015,1.2595,289.0,1261.0,220.0,83.0,703.0,13078.0,68751.0,419.0,169.0,2015.0,1.0,5.0,20.0,20.0,8.0,"[1002, 2893, 2023, 2040, 1098, 2819]",['family']
Stick 'Em,354,2898.0,7.0381,6.50906,1.935,246.0,1054.0,80.0,187.0,567.0,4113.0,11856.0,49.0,62.0,1993.0,3.0,8.0,30.0,60.0,10.0,"[1002, 2040, 2009]",['strategy']
Reavers of Midgard,242684,1596.0,7.55294,6.50882,2.8889,63.0,293.0,97.0,150.0,981.0,3941.0,3630.0,44.0,229.0,2019.0,2.0,4.0,60.0,120.0,14.0,"[2041, 2072, 2843, 2004, 2082]",['strategy']
Rattus,42452,5656.0,6.7969,6.50853,2.0597,318.0,1551.0,194.0,270.0,1023.0,5823.0,17078.0,20.0,159.0,2010.0,2.0,4.0,45.0,45.0,10.0,"[1089, 2080, 2046, 1035, 2015]","['strategy', 'family']"
Viceroy,157526,5028.0,6.82976,6.50839,2.6498,217.0,2449.0,687.0,83.0,582.0,8963.0,12088.0,19.0,292.0,2014.0,1.0,4.0,45.0,60.0,13.0,"[2920, 1023, 2041, 1002, 1029, 1015, 1010, 2040, 2047, 1026, 2004, 2002]",['strategy']
Love Letter,277085,1469.0,7.67267,6.5084,1.119,42.0,67.0,10.0,31.0,325.0,3356.0,6179.0,189.0,70.0,2019.0,2.0,6.0,20.0,20.0,10.0,"[1002, 1039, 2040, 2685, 1070, 2823]","['party', 'family']"
Heroes of Normandie,53093,1909.0,7.49975,6.50722,2.741,139.0,829.0,225.0,178.0,868.0,4415.0,4140.0,4.0,535.0,2014.0,2.0,2.0,30.0,60.0,14.0,"[2689, 2072, 2676, 2040, 2011, 2070, 2940, 2015, 1019, 1049]",['war']
Imperial Struggle,206480,909.0,8.44433,6.50773,3.8605,86.0,342.0,53.0,214.0,1596.0,2792.0,1710.0,39.0,222.0,2020.0,2.0,2.0,120.0,240.0,12.0,"[2726, 2080, 2018, 2041, 2078, 2016, 2070, 1019]","['war', 'strategy']"
Disney Villainous: Evil Comes Prepared,284760,1470.0,7.75057,6.5071,2.2,25.0,94.0,37.0,124.0,717.0,6597.0,1095.0,24.0,107.0,2019.0,2.0,3.0,40.0,60.0,10.0,"[1002, 1010, 2040, 1064, 1082, 2686, 2015]",['family']
Carcassonne: Winter Edition,131014,1663.0,7.49994,6.507,1.8333,66.0,391.0,34.0,99.0,355.0,3286.0,5344.0,36.0,74.0,2012.0,2.0,5.0,40.0,40.0,8.0,"[2080, 1029, 1035, 2002]",['family']
Coffee Roaster,196526,1439.0,7.58473,6.50423,2.1429,56.0,577.0,76.0,356.0,1565.0,3089.0,8444.0,160.0,147.0,2015.0,1.0,1.0,10.0,30.0,12.0,"[2664, 1039, 1088, 2661, 2819]",['strategy']
Dungeon Fighter,102548,5798.0,6.82073,6.50388,1.7549,257.0,1198.0,241.0,208.0,1265.0,8031.0,13524.0,39.0,238.0,2011.0,1.0,6.0,45.0,60.0,14.0,"[1032, 2041, 2023, 2072, 2984, 1020, 1010, 1046, 1079, 2011, 2078, 2828, 2015, 2897]",['party']
Tiny Epic Zombies,244536,3578.0,7.05053,6.50406,2.4583,72.0,537.0,206.0,89.0,801.0,11091.0,7313.0,35.0,1816.0,2018.0,1.0,5.0,30.0,45.0,14.0,"[2080, 2023, 2072, 1024, 2011, 2007, 2661, 2019, 2015, 2481]",['thematic']
Encore!,206931,3154.0,7.0228,6.50323,1.1455,55.0,482.0,58.0,82.0,413.0,5692.0,48765.0,562.0,67.0,2016.0,1.0,6.0,20.0,20.0,8.0,"[1017, 2072, 2055, 2819]",['family']
Escape from the Aliens in Outer Space,82168,3819.0,6.93356,6.50137,1.8804,92.0,801.0,177.0,258.0,1491.0,6740.0,9639.0,24.0,173.0,2010.0,2.0,8.0,20.0,45.0,12.0,"[2676, 2026, 2967, 2891, 1024, 2055, 1030, 1120, 1016, 2016, 2019, 2015]",['thematic']
Thunderbirds,160610,1673.0,7.5734,6.50127,2.4868,76.0,649.0,70.0,149.0,816.0,3394.0,5451.0,15.0,283.0,2015.0,1.0,4.0,45.0,60.0,10.0,"[2001, 2046, 2023, 2072, 1064, 2007, 1016, 2015]",['thematic']
Evo,1159,4364.0,6.87185,6.50116,2.343,446.0,1397.0,120.0,183.0,656.0,3913.0,6139.0,1.0,69.0,2001.0,3.0,5.0,60.0,120.0,12.0,"[1089, 2080, 2046, 2012, 2072, 2040, 1036, 1016, 2826, 2015, 2874]","['strategy', 'family']"
